"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"2965058785176708706","администрирование сетей и серверов","3202179","44","1601089"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","910300","134","303433"
"2994302052304582332","веб-разработка","4316681","251","2158340"
"-2038546902307346515","создание мобильных систем","8612267","118","2870755"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","4069094","335","2034547"
"2469142237839591980","организацию антивирусной защиты","3326047","304","1663023"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","7076017","278","3538008"
"-3680269178049521279","организация систем видеонаблюдения","126670","307","63335"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","962736","73","481368"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6547168","325","3273584"
"251320525167778322","телефония","407101","30","203550"
"-4590959470529102714","создание виртуального офиса","2577966","169","1288983"
"-6289304117607109823","организация резервного копирования","9568554","188","3189518"
"2965058785176708706","администрирование сетей и серверов","1380773","356","690386"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","207609","319","103804"
"2994302052304582332","веб-разработка","6680231","211","3340115"
"-2038546902307346515","создание мобильных систем","2942123","152","1471061"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","6590810","311","2196936"
"2469142237839591980","организацию антивирусной защиты","6612889","210","2204296"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4911138","164","1637046"
"-3680269178049521279","организация систем видеонаблюдения","7832118","215","3916059"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6723270","91","2241090"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","4201444","35","1400481"
"251320525167778322","телефония","7226454","98","2408818"
"-4590959470529102714","создание виртуального офиса","8098800","230","2699600"
"-6289304117607109823","организация резервного копирования","4887546","300","1629182"
"2965058785176708706","администрирование сетей и серверов","9173819","363","3057939"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","5762858","80","2881429"
"2994302052304582332","веб-разработка","6987421","179","2329140"
"-2038546902307346515","создание мобильных систем","5953666","263","1984555"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","2081577","130","693859"
"2469142237839591980","организацию антивирусной защиты","1920696","38","960348"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","6122295","226","2040765"
"-3680269178049521279","организация систем видеонаблюдения","9272318","311","3090772"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","5256968","272","1752322"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","2820046","72","1410023"
"251320525167778322","телефония","7121033","223","2373677"
"-4590959470529102714","создание виртуального офиса","9912042","111","4956021"
"-6289304117607109823","организация резервного копирования","1950285","16","650095"
"2965058785176708706","администрирование сетей и серверов","3382414","93","1127471"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","6727758","40","3363879"
"2994302052304582332","веб-разработка","7418264","243","2472754"
"-2038546902307346515","создание мобильных систем","182194","182","91097"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","307477","198","153738"
"2469142237839591980","организацию антивирусной защиты","6437761","42","2145920"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","6414176","167","2138058"
"-3680269178049521279","организация систем видеонаблюдения","9743999","335","4871999"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","3746872","117","1248957"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","1712608","117","856304"
"251320525167778322","телефония","2989518","121","996506"
"-4590959470529102714","создание виртуального офиса","4138355","284","2069177"
"-6289304117607109823","организация резервного копирования","7481706","126","3740853"
"2965058785176708706","администрирование сетей и серверов","5822050","192","2911025"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","7678905","177","2559635"
"2994302052304582332","веб-разработка","2794580","265","1397290"
"-2038546902307346515","создание мобильных систем","4167642","237","2083821"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","9905490","116","4952745"
"2469142237839591980","организацию антивирусной защиты","4480180","129","1493393"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","395825","192","197912"
"-3680269178049521279","организация систем видеонаблюдения","6227033","15","3113516"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","3680040","244","1840020"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7050205","150","3525102"
"251320525167778322","телефония","5849521","24","1949840"
"-4590959470529102714","создание виртуального офиса","462202","359","154067"
"-6289304117607109823","организация резервного копирования","1790274","287","895137"
"2965058785176708706","администрирование сетей и серверов","730995","59","365497"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","581082","105","193694"
"2994302052304582332","веб-разработка","3583954","330","1194651"
"-2038546902307346515","создание мобильных систем","5142084","223","2571042"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3963045","176","1981522"
"2469142237839591980","организацию антивирусной защиты","2880575","227","960191"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","2464991","277","1232495"
"-3680269178049521279","организация систем видеонаблюдения","5405705","199","2702852"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","8605318","16","2868439"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","1692071","295","564023"
"251320525167778322","телефония","9158501","355","4579250"
"-4590959470529102714","создание виртуального офиса","1837380","346","612460"
"-6289304117607109823","организация резервного копирования","2105308","72","1052654"
"2965058785176708706","администрирование сетей и серверов","8337430","222","2779143"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","7832403","208","2610801"
"2994302052304582332","веб-разработка","3269976","186","1634988"
"-2038546902307346515","создание мобильных систем","9632279","154","3210759"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","9950778","202","3316926"
"2469142237839591980","организацию антивирусной защиты","8551429","336","2850476"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8358608","20","2786202"
"-3680269178049521279","организация систем видеонаблюдения","5650239","258","2825119"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","7085492","354","3542746"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","9976418","258","3325472"
"251320525167778322","телефония","4064027","360","1354675"
"-4590959470529102714","создание виртуального офиса","7673126","84","2557708"
"-6289304117607109823","организация резервного копирования","4262401","342","1420800"
"2965058785176708706","администрирование сетей и серверов","2974661","92","991553"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8865608","89","4432804"
"2994302052304582332","веб-разработка","6018364","121","3009182"
"-2038546902307346515","создание мобильных систем","9913733","221","3304577"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","1615577","228","538525"
"2469142237839591980","организацию антивирусной защиты","9361019","43","4680509"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","552226","88","276113"
"-3680269178049521279","организация систем видеонаблюдения","185491","147","92745"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","4245469","228","1415156"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5524905","287","2762452"
"251320525167778322","телефония","4502326","20","2251163"
"-4590959470529102714","создание виртуального офиса","3825946","329","1912973"
"-6289304117607109823","организация резервного копирования","7056487","205","2352162"
"2965058785176708706","администрирование сетей и серверов","1262581","280","420860"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","6082061","225","2027353"
"2994302052304582332","веб-разработка","4588143","243","2294071"
"-2038546902307346515","создание мобильных систем","8663909","63","2887969"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","9558215","106","3186071"
"2469142237839591980","организацию антивирусной защиты","5908510","175","2954255"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","3320563","192","1106854"
"-3680269178049521279","организация систем видеонаблюдения","9710718","339","3236906"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6268678","161","2089559"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5978299","112","1992766"
"251320525167778322","телефония","9709410","121","4854705"
"-4590959470529102714","создание виртуального офиса","2810711","221","936903"
"-6289304117607109823","организация резервного копирования","6263602","288","2087867"
"2965058785176708706","администрирование сетей и серверов","9623227","226","4811613"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","7103800","286","3551900"
"2994302052304582332","веб-разработка","235986","26","117993"
"-2038546902307346515","создание мобильных систем","6572800","165","3286400"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","6103059","46","3051529"
"2469142237839591980","организацию антивирусной защиты","2998431","25","1499215"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","9048497","114","4524248"
"-3680269178049521279","организация систем видеонаблюдения","5696403","282","1898801"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","4971363","362","1657121"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6843417","290","3421708"
"251320525167778322","телефония","5425400","174","2712700"
"-4590959470529102714","создание виртуального офиса","724083","314","362041"
"-6289304117607109823","организация резервного копирования","538860","315","269430"
"2965058785176708706","администрирование сетей и серверов","320518","84","160259"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8463920","241","2821306"
"2994302052304582332","веб-разработка","3159853","105","1579926"
"-2038546902307346515","создание мобильных систем","9185023","140","3061674"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","483891","223","161297"
"2469142237839591980","организацию антивирусной защиты","8271880","211","2757293"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","627559","254","209186"
"-3680269178049521279","организация систем видеонаблюдения","524689","101","174896"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","1028351","252","514175"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7460886","86","2486962"
"251320525167778322","телефония","4161790","147","1387263"
"-4590959470529102714","создание виртуального офиса","1736075","73","578691"
"-6289304117607109823","организация резервного копирования","8604011","200","4302005"
"2965058785176708706","администрирование сетей и серверов","7636828","157","2545609"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","7581566","352","3790783"
"2994302052304582332","веб-разработка","7669597","352","3834798"
"-2038546902307346515","создание мобильных систем","8520382","40","2840127"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3543717","319","1181239"
"2469142237839591980","организацию антивирусной защиты","1198077","15","599038"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4291538","336","2145769"
"-3680269178049521279","организация систем видеонаблюдения","5460178","326","1820059"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9882318","40","3294106"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","214900","282","107450"
"251320525167778322","телефония","678239","277","339119"
"-4590959470529102714","создание виртуального офиса","5356734","212","1785578"
"-6289304117607109823","организация резервного копирования","7417857","44","3708928"
"2965058785176708706","администрирование сетей и серверов","1871323","177","935661"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8883541","70","2961180"
"2994302052304582332","веб-разработка","7663809","34","2554603"
"-2038546902307346515","создание мобильных систем","6741693","282","3370846"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","4531648","70","2265824"
"2469142237839591980","организацию антивирусной защиты","5626999","20","1875666"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","3839048","177","1279682"
"-3680269178049521279","организация систем видеонаблюдения","2863602","43","954534"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","3457060","355","1728530"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","3751685","177","1250561"
"251320525167778322","телефония","8019516","47","4009758"
"-4590959470529102714","создание виртуального офиса","1162984","189","387661"
"-6289304117607109823","организация резервного копирования","6106258","187","2035419"
"2965058785176708706","администрирование сетей и серверов","8930838","88","2976946"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","6448811","224","3224405"
"2994302052304582332","веб-разработка","1543199","98","514399"
"-2038546902307346515","создание мобильных систем","2739069","146","913023"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","1533476","189","766738"
"2469142237839591980","организацию антивирусной защиты","933489","26","311163"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","6783184","134","2261061"
"-3680269178049521279","организация систем видеонаблюдения","821109","59","273703"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","4186881","316","1395627"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","9608482","314","4804241"
"251320525167778322","телефония","2640083","234","880027"
"-4590959470529102714","создание виртуального офиса","4052933","78","1350977"
"-6289304117607109823","организация резервного копирования","5427752","358","1809250"
"2965058785176708706","администрирование сетей и серверов","8161175","238","4080587"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","2281562","47","760520"
"2994302052304582332","веб-разработка","9253292","35","4626646"
"-2038546902307346515","создание мобильных систем","8774799","236","4387399"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5277843","113","1759281"
"2469142237839591980","организацию антивирусной защиты","1469498","289","734749"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","449909","51","149969"
"-3680269178049521279","организация систем видеонаблюдения","5715448","331","1905149"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","4962129","89","2481064"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","3054666","85","1527333"
"251320525167778322","телефония","5706614","303","1902204"
"-4590959470529102714","создание виртуального офиса","5706086","268","2853043"
"-6289304117607109823","организация резервного копирования","119596","218","39865"
"2965058785176708706","администрирование сетей и серверов","6074469","56","2024823"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","3415586","126","1707793"
"2994302052304582332","веб-разработка","9030572","119","3010190"
"-2038546902307346515","создание мобильных систем","9210570","55","3070190"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5955721","110","1985240"
"2469142237839591980","организацию антивирусной защиты","3420619","322","1710309"
